GEOID,total_pop,total_crimes,crime_rate,violent_crimes,violent_rate,property_crimes,property_rate,other_crimes,other_rate,low_population,rate_reliable
42101015600,1561,4404,282126.84176809737,400,25624.599615631007,1842,118001.2812299808,2162,138500.9609224856,False,True
42101015700,2556,7792,304851.3302034429,668,26134.585289514867,3258,127464.78873239437,3866,151251.95618153363,False,True
42101015800,7308,8386,114750.95785440612,468,6403.940886699508,3525,48234.81116584565,4393,60112.205801860975,False,True
42101016001,2330,6425,275751.0729613734,398,17081.545064377682,3056,131158.7982832618,2971,127510.72961373391,False,True
42101016002,4547,7406,162876.6219485375,489,10754.343523202111,3158,69452.38618869585,3759,82669.89223663954,False,True
42101016100,6255,15564,248824.94004796163,1193,19072.741806554754,6401,102334.13269384492,7970,127418.06554756194,False,True
42101016200,2315,5537,239179.2656587473,686,29632.82937365011,1566,67645.78833693304,3285,141900.64794816414,False,True
42101016300,3204,15544,485143.57053682895,1660,51810.237203495635,3488,108863.92009987516,10396,324469.4132334582,False,True
42101016400,4410,11192,253786.84807256237,1550,35147.39229024944,2044,46349.20634920635,7598,172290.24943310657,False,True
42101016500,3121,9687,310381.28804870235,1437,46042.93495674463,1947,62383.851329702025,6303,201954.50176225568,False,True
42101016600,1998,8225,411661.6616616617,861,43093.09309309309,3387,169519.51951951953,3977,199049.04904904906,False,True
42101016701,3319,11761,354353.7210003013,1390,41880.084362759866,1957,58963.543235914425,8414,253510.093401627,False,True
42101016702,2378,14835,623843.5660218671,1821,76576.95542472665,3533,148570.22708158116,9481,398696.3835155593,False,True
42101016800,2871,10590,368861.02403343783,1492,51967.955416231285,2227,77568.79136189481,6871,239324.27725531172,False,True
42101016901,3540,10889,307598.87005649717,1518,42881.35593220339,2596,73333.33333333333,6775,191384.18079096044,False,True
42101016902,2847,15882,557850.3688092729,2140,75166.84229012996,2889,101475.23709167546,10853,381208.2894274675,False,True
42101017000,3217,8407,261330.43207957724,791,24588.125582841156,3115,96829.34410941871,4501,139912.96238731738,False,True
42101017100,3240,13861,427808.64197530865,1621,50030.864197530864,3495,107870.37037037036,8745,269907.4074074074,False,True
42101017201,2576,10259,398253.10559006216,1380,53571.42857142857,1926,74767.08074534162,6953,269914.5962732919,False,True
